StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1077,18,Male,0,2,5.31,3,No,3,No,No,No,No,2.7344,2
1078,18,Female,1,3,18.08,18,Yes,1,Yes,Yes,No,No,2.1317,3
1079,17,Female,0,0,6.41,19,No,1,No,No,No,No,0.9798,4
1080,18,Female,3,1,11.05,25,No,3,No,Yes,No,No,0.9943,4
1081,17,Male,3,1,1.01,6,No,1,No,Yes,No,No,2.0747,3
1082,18,Female,2,2,0.88,25,No,2,No,No,No,No,0.5005,4
1083,15,Female,1,1,14.41,7,No,0,Yes,Yes,No,No,2.5324,2
1084,18,Male,2,1,8.89,16,No,1,No,Yes,No,No,1.4634,4
1085,17,Female,0,2,5.13,12,No,3,Yes,Yes,No,No,2.3428,3
1086,17,Female,2,3,3.81,23,No,3,No,No,No,No,1.1588,4
1087,16,Female,0,1,13.4,20,Yes,1,Yes,No,Yes,Yes,1.5237,4
1088,15,Male,2,1,0.01,27,No,1,No,No,Yes,No,0.0,4
1089,18,Male,0,1,16.12,22,No,0,Yes,No,Yes,No,1.0586,4
1090,16,Male,2,1,1.58,10,No,2,No,No,Yes,Yes,2.2297,3
1091,18,Male,3,1,3.83,26,No,1,No,No,No,Yes,0.1947,4
1092,18,Female,0,2,7.72,0,No,2,Yes,Yes,No,No,3.5069,0
1093,16,Male,0,2,9.7,1,Yes,3,No,No,No,No,3.5523,0
1094,16,Male,3,2,7.1,16,Yes,3,No,Yes,No,No,2.2385,3
1095,16,Female,0,1,6.41,4,No,1,Yes,Yes,No,No,2.7085,2
1096,16,Female,2,3,19.28,29,No,3,No,No,No,Yes,0.7329,4
1097,16,Female,1,1,12.83,29,No,4,No,No,Yes,No,0.9655,4
1098,18,Male,0,2,0.47,5,No,2,No,Yes,No,No,2.5552,2
1099,16,Male,0,3,8.6,25,No,2,Yes,No,Yes,Yes,0.7443,4
1100,15,Male,0,1,17.5,24,No,2,No,No,No,No,0.7221,4
1101,17,Female,2,1,6.03,23,Yes,1,Yes,Yes,No,Yes,1.2712,4
1102,16,Female,0,3,1.89,6,No,3,Yes,No,Yes,Yes,2.5261,2
1103,16,Male,1,1,15.17,27,No,3,Yes,Yes,No,No,0.9424,4
1104,18,Female,0,2,12.12,20,Yes,2,No,Yes,No,No,1.5156,4
1105,16,Female,1,0,11.41,29,No,3,Yes,No,No,No,0.6483,4
1106,16,Female,2,2,1.07,14,No,3,No,Yes,Yes,Yes,2.0489,3
1107,16,Male,3,1,2.81,18,No,0,Yes,No,No,Yes,0.8423,4
1108,18,Female,0,0,12.45,15,No,1,No,Yes,No,No,1.4642,4
1109,16,Female,2,2,4.16,24,Yes,3,Yes,Yes,No,No,1.4879,4
1110,17,Male,2,1,10.08,12,Yes,4,No,No,No,No,2.5876,2
1111,18,Male,1,1,10.9,4,Yes,3,No,No,No,No,3.2208,1
1112,17,Female,3,0,5.67,2,Yes,4,No,No,Yes,No,3.5452,0
1113,18,Female,0,1,18.97,2,No,2,No,No,No,No,3.0896,1
1114,16,Male,0,1,16.85,18,Yes,1,No,Yes,Yes,No,1.92,4
1115,17,Male,2,0,14.45,13,Yes,2,No,No,No,No,2.1986,3
1116,18,Female,0,3,1.56,15,No,0,No,No,No,Yes,0.8782,4
1117,15,Female,2,0,2.12,21,No,3,Yes,No,Yes,No,1.3404,4
1118,16,Female,2,2,9.86,16,No,4,No,No,No,No,1.8195,4
1119,18,Female,0,1,3.21,26,No,3,No,Yes,No,No,0.6194,4
1120,15,Male,2,1,19.57,3,No,2,Yes,No,Yes,Yes,3.6195,0
1121,18,Female,0,3,3.17,12,Yes,1,Yes,Yes,No,No,2.1749,3
1122,15,Female,1,1,9.75,7,Yes,1,No,Yes,Yes,No,2.9744,2
1123,16,Male,1,4,7.28,18,No,2,No,No,No,No,0.9807,4
1124,17,Female,3,1,12.79,4,No,3,No,No,No,No,3.1017,1
1125,15,Male,0,2,2.58,1,Yes,2,Yes,No,Yes,No,3.4983,1
1126,18,Female,0,2,8.61,14,No,4,Yes,No,No,No,2.5906,2
1127,16,Female,1,3,5.49,1,No,3,Yes,No,No,No,3.535,0
1128,15,Male,2,2,17.76,10,Yes,1,No,Yes,No,No,2.8199,2
1129,18,Male,1,2,0.81,12,Yes,1,Yes,Yes,No,No,2.0166,3
1130,18,Female,0,1,18.27,22,Yes,3,No,No,No,No,1.3712,4
1131,18,Female,0,1,16.66,9,No,1,No,No,No,No,2.1048,3
1132,15,Female,0,3,5.95,2,No,3,No,No,No,No,3.0304,1
1133,15,Male,2,1,15.79,4,Yes,2,No,Yes,No,No,3.5824,0
1134,15,Female,0,1,0.62,2,No,1,Yes,No,No,No,2.4265,3
1135,17,Male,0,2,19.34,5,Yes,2,Yes,No,No,No,3.1614,1
1136,15,Male,3,1,10.53,12,No,2,Yes,No,No,No,2.1226,3
1137,15,Female,0,4,6.07,9,No,3,No,Yes,No,No,2.2049,3
1138,15,Male,3,2,7.25,18,No,0,Yes,No,Yes,Yes,1.183,4
1139,17,Female,1,2,1.33,7,No,3,Yes,No,No,No,2.7388,2
1140,15,Female,2,3,19.79,17,Yes,3,No,No,No,No,2.2379,3
1141,18,Female,0,0,0.79,2,No,3,Yes,No,No,No,3.1395,1
1142,15,Female,0,1,13.1,23,Yes,0,Yes,Yes,No,No,1.046,4
1143,18,Female,2,2,8.85,23,Yes,3,No,No,No,No,0.8165,4
1144,18,Male,2,1,18.98,16,No,2,Yes,No,Yes,No,2.0335,3
1145,18,Male,2,2,4.92,7,Yes,2,Yes,Yes,No,No,2.4321,3
1146,17,Female,0,3,10.64,9,No,3,Yes,No,No,No,2.6598,2
1147,17,Female,2,2,9.65,1,Yes,2,Yes,No,No,Yes,3.5889,0
1148,17,Male,2,1,14.06,11,No,3,No,Yes,No,No,2.3146,3
1149,15,Male,1,4,1.36,22,No,1,Yes,Yes,No,Yes,1.0072,4
1150,18,Male,2,2,3.88,5,No,3,Yes,No,No,No,2.8816,2
1151,17,Male,2,2,4.29,1,No,1,No,Yes,Yes,No,2.8045,2
1152,17,Female,1,1,14.76,20,Yes,3,No,Yes,No,No,1.7629,4
1153,15,Female,0,3,3.78,22,No,4,Yes,No,No,Yes,1.1199,4
1154,17,Male,0,2,11.47,23,No,2,No,No,No,No,1.0307,4
1155,15,Female,0,2,4.3,2,No,2,Yes,No,No,No,3.0756,1
1156,16,Male,0,3,17.23,16,Yes,3,Yes,Yes,No,No,2.6314,2
1157,17,Female,0,1,18.84,28,No,0,No,Yes,Yes,Yes,0.5031,4
1158,16,Male,0,2,10.37,6,No,2,No,No,No,No,2.7842,2
1159,15,Female,0,3,7.05,28,No,2,No,No,No,No,0.2476,4
1160,18,Male,0,1,4.68,20,No,3,No,No,No,Yes,1.1895,4
1161,17,Male,2,2,1.0,4,Yes,3,Yes,No,No,Yes,3.376,1
1162,15,Female,3,3,5.37,22,Yes,3,No,No,No,No,1.2936,4
1163,18,Male,0,2,13.08,0,Yes,3,No,No,Yes,Yes,3.7186,0
1164,18,Female,3,2,10.67,7,No,3,Yes,No,No,No,2.6706,2
1165,16,Female,1,3,18.88,11,Yes,2,Yes,No,No,No,2.3696,3
1166,15,Male,0,3,7.93,13,No,2,No,Yes,No,No,1.6245,4
1167,18,Female,0,1,13.88,15,Yes,2,Yes,Yes,No,No,2.5375,2
1168,17,Female,1,0,9.79,9,No,4,No,Yes,No,No,2.2984,3
1169,17,Female,2,2,10.25,14,No,3,Yes,No,No,No,2.2598,3
1170,16,Female,2,2,5.36,20,No,2,No,Yes,No,No,1.3213,4
1171,18,Female,0,2,9.1,23,No,3,No,Yes,No,No,0.95,4
1172,15,Male,0,2,9.42,25,No,2,Yes,No,No,Yes,0.8188,4
1173,17,Female,0,1,14.13,14,Yes,3,No,No,No,No,2.3392,3
1174,18,Female,0,2,18.81,9,No,2,No,Yes,No,No,2.6828,2
1175,18,Female,0,1,6.59,20,Yes,1,Yes,No,No,No,1.5438,4
1176,16,Female,0,2,0.84,27,No,3,Yes,No,No,No,0.1969,4
1177,17,Female,2,2,9.93,6,No,3,No,No,No,No,2.7486,2
1178,17,Male,3,1,10.89,25,Yes,2,Yes,No,Yes,No,1.1049,4
1179,15,Female,0,1,3.37,2,No,2,Yes,No,No,No,2.5534,2
1180,17,Male,3,2,15.21,1,No,3,Yes,No,No,Yes,3.2742,1
1181,15,Male,0,2,19.7,5,Yes,3,No,No,No,No,3.1861,1
1182,17,Male,0,1,18.92,20,No,3,Yes,No,No,No,1.7221,4
1183,16,Male,0,4,3.94,8,No,2,Yes,Yes,No,No,2.338,3
1184,17,Female,1,2,17.51,9,Yes,4,Yes,Yes,No,No,3.274,1
1185,15,Male,3,4,14.09,3,No,3,No,No,No,No,2.9935,2
1186,15,Male,1,2,9.08,26,Yes,3,Yes,No,No,No,0.8964,4
1187,16,Female,0,2,10.81,2,No,3,No,No,No,No,2.9611,2
1188,17,Female,1,3,16.99,8,No,1,Yes,No,No,No,2.6744,2
1189,17,Female,0,2,9.6,23,No,0,Yes,Yes,No,No,1.2179,4
1190,16,Male,2,2,7.46,21,Yes,3,No,No,No,No,1.3656,4
1191,17,Female,1,1,9.86,16,No,2,No,No,No,Yes,1.5223,4
1192,17,Female,0,2,11.58,13,Yes,3,No,No,No,No,2.2314,3
1193,15,Male,1,1,3.78,9,No,2,Yes,No,No,No,2.1353,3
1194,17,Female,1,1,18.02,12,No,2,No,No,No,No,2.2557,3
1195,17,Female,0,0,13.48,11,Yes,1,Yes,No,Yes,No,2.7511,2
1196,16,Female,1,0,12.67,26,No,3,Yes,Yes,No,No,0.8976,4
1197,16,Female,0,4,1.99,0,No,1,Yes,No,No,Yes,3.1174,1
1198,18,Male,2,1,12.08,27,No,3,Yes,No,Yes,No,1.2876,4
1199,15,Female,2,2,2.42,21,No,2,No,No,No,No,0.5711,4
1200,17,Female,2,3,1.57,28,No,3,Yes,No,No,No,0.5814,4
1201,17,Male,1,2,10.55,18,No,1,No,No,Yes,No,1.6435,4
1202,18,Female,1,1,8.06,18,No,1,No,No,No,No,1.2348,4
1203,17,Male,0,2,11.78,5,No,3,No,Yes,No,Yes,2.9681,2
1204,15,Female,2,2,1.78,12,No,2,Yes,No,No,No,2.0093,3
1205,18,Male,0,2,8.62,18,No,1,Yes,No,No,No,1.1461,4
1206,15,Male,0,2,3.5,12,Yes,4,No,No,No,No,2.1924,3
1207,18,Male,0,4,19.74,26,Yes,1,Yes,No,No,No,0.9457,4
1208,18,Male,0,2,11.22,25,No,2,Yes,No,No,No,0.5673,4
1209,16,Female,1,1,13.75,21,No,1,No,No,No,No,0.9708,4
1210,15,Male,0,2,6.51,20,Yes,2,Yes,No,Yes,Yes,1.6561,4
1211,17,Female,2,0,1.89,3,No,2,No,No,Yes,No,2.8393,2
1212,17,Male,0,3,19.52,23,No,1,No,No,Yes,Yes,0.1898,4
1213,15,Male,0,1,5.73,1,No,3,Yes,No,No,No,3.2583,1
1214,17,Male,1,1,8.48,14,Yes,2,No,No,No,No,1.9201,4
1215,17,Female,0,3,13.0,11,No,3,No,No,No,No,2.0218,3
1216,15,Male,0,2,0.49,29,Yes,1,Yes,No,No,No,0.1259,4
1217,18,Female,2,1,16.21,26,Yes,2,Yes,No,No,No,1.287,4
1218,15,Female,0,2,10.73,6,No,0,Yes,No,Yes,No,2.5914,2
1219,18,Female,2,3,5.56,19,Yes,3,No,No,No,No,1.4634,4
1220,17,Female,0,1,1.23,17,No,3,No,No,No,No,1.4655,4
1221,17,Female,0,3,3.25,22,No,3,Yes,Yes,No,Yes,1.7105,4
1222,17,Female,2,0,17.9,12,No,2,No,Yes,No,Yes,2.2885,3
1223,16,Female,0,2,13.72,16,No,3,No,No,Yes,No,1.961,4
1224,18,Female,0,3,5.0,3,No,3,No,No,No,No,2.6216,2
1225,16,Female,0,1,1.31,24,No,0,Yes,No,No,No,0.7683,4
1226,16,Male,0,2,13.81,13,No,1,No,No,Yes,No,1.8064,4
1227,15,Male,2,1,11.45,19,No,2,No,No,No,No,0.8819,4
1228,16,Male,0,2,8.09,27,No,3,No,Yes,No,No,0.8171,4
1229,15,Male,2,2,7.27,12,Yes,0,No,No,No,No,1.4461,4
1230,15,Male,2,2,4.34,2,No,3,No,Yes,No,No,3.3391,1
1231,16,Female,0,1,13.39,25,No,2,No,No,No,No,0.8196,4
1232,18,Female,3,1,19.41,25,No,2,No,No,No,No,0.6768,4
1233,18,Female,0,0,3.51,17,No,1,No,Yes,No,Yes,1.3895,4
1234,18,Female,3,1,11.94,13,No,2,No,Yes,No,Yes,1.9915,4
1235,18,Female,0,2,8.48,14,No,0,No,Yes,No,No,1.6399,4
1236,18,Female,1,3,8.93,2,No,0,No,Yes,No,No,2.5117,2
1237,16,Female,0,2,5.08,0,No,3,No,No,Yes,No,2.9839,2
1238,16,Male,0,2,16.5,25,Yes,2,No,No,Yes,No,1.2587,4
1239,17,Male,1,4,9.71,23,Yes,2,No,No,No,No,1.4179,4
1240,18,Male,2,2,10.87,16,No,1,Yes,No,Yes,No,1.597,4
1241,16,Male,0,3,6.1,2,Yes,2,No,Yes,No,No,3.0887,1
1242,17,Female,0,2,3.64,13,No,0,Yes,Yes,No,No,1.6413,4
1243,18,Female,2,1,1.72,2,No,2,No,Yes,No,No,2.5869,2
1244,15,Female,1,0,14.28,12,Yes,2,No,No,No,No,2.389,3
1245,17,Male,3,2,3.92,14,No,2,Yes,No,No,No,1.8981,4
1246,16,Female,2,1,13.8,17,No,4,No,Yes,No,No,2.1105,3
1247,15,Female,3,1,7.81,13,No,2,No,No,No,No,1.7003,4
1248,15,Female,2,2,8.32,20,No,2,Yes,No,No,No,1.0445,4
1249,15,Male,0,2,9.38,25,No,2,No,Yes,No,No,1.1942,4
1250,17,Female,0,2,7.35,2,No,1,No,No,Yes,No,2.6491,2
1251,16,Male,2,1,2.01,18,No,3,No,Yes,No,No,1.2341,4
1252,15,Male,1,1,6.19,7,No,2,Yes,No,No,No,2.1274,3
1253,18,Male,0,2,13.27,3,Yes,1,Yes,No,No,No,2.9139,2
1254,15,Male,0,4,13.32,3,No,3,No,No,No,Yes,3.1194,1
1255,15,Female,3,2,5.72,18,Yes,0,No,No,No,No,1.0364,4
1256,17,Male,1,3,9.2,10,No,4,Yes,No,No,Yes,2.4033,3
1257,17,Male,0,2,3.87,0,Yes,3,No,No,No,No,3.1565,1
1258,16,Female,0,2,4.21,7,Yes,2,No,Yes,Yes,No,2.7235,2
1259,18,Female,0,1,0.46,14,No,1,Yes,Yes,No,No,1.531,4
1260,17,Male,0,2,17.93,0,No,1,No,No,No,No,3.4686,1
1261,15,Female,0,2,4.21,6,No,1,Yes,No,No,No,2.302,3
1262,16,Male,0,2,4.55,20,Yes,1,Yes,No,No,No,1.2657,4
1263,15,Male,2,2,5.59,19,No,2,Yes,Yes,No,Yes,1.4796,4
1264,15,Male,0,2,2.55,19,No,4,No,No,Yes,Yes,1.4451,4
1265,17,Male,2,1,12.79,23,No,2,No,No,No,No,0.8094,4
1266,16,Female,2,2,1.5,10,Yes,3,No,No,No,No,2.1502,3
1267,18,Male,0,1,2.68,26,No,3,No,No,No,No,0.5591,4
1268,18,Female,1,3,12.9,28,No,3,No,No,No,No,0.5808,4
1269,17,Female,0,1,6.79,13,No,0,No,Yes,Yes,Yes,1.6021,4
1270,17,Female,2,0,14.16,21,Yes,2,No,Yes,No,No,1.0028,4
1271,16,Female,0,2,11.15,15,No,3,No,No,No,No,1.6631,4
1272,18,Male,1,2,5.12,13,No,3,No,No,No,Yes,1.5315,4
1273,18,Female,1,2,13.02,11,No,4,No,No,No,No,2.2058,3
1274,18,Male,0,1,2.33,16,No,3,No,No,No,Yes,1.1553,4
1275,15,Female,0,2,10.73,13,Yes,1,No,No,No,No,2.1538,3
1276,18,Female,1,1,8.74,9,No,2,Yes,No,No,Yes,2.5928,2
1277,15,Male,2,3,5.36,23,No,0,Yes,Yes,No,No,0.9123,4
1278,16,Male,0,3,12.08,28,Yes,3,No,No,No,No,0.6956,4
1279,15,Male,1,2,17.43,13,Yes,2,No,No,No,No,2.1396,3
1280,16,Female,0,1,19.98,17,No,3,No,No,No,No,1.5504,4
1281,18,Female,2,2,12.16,21,No,4,No,No,No,Yes,1.5475,4
1282,18,Male,0,0,8.09,8,Yes,3,No,No,Yes,No,2.9665,2
1283,16,Male,2,2,4.5,16,No,2,Yes,No,No,Yes,1.6337,4
1284,17,Male,0,1,5.14,5,Yes,1,No,No,No,No,2.3325,3
1285,16,Male,0,3,9.59,7,Yes,3,Yes,Yes,Yes,No,3.2703,1
1286,17,Female,0,0,7.35,25,No,1,No,No,No,No,0.3465,4
1287,15,Male,0,2,18.28,12,Yes,1,No,No,No,No,1.8949,4
1288,15,Male,1,2,7.37,17,No,1,No,No,No,No,1.4567,4
1289,15,Male,0,2,7.47,4,No,2,Yes,No,No,No,2.5537,2
1290,18,Male,2,0,7.67,5,No,1,No,No,No,No,2.2242,3
1291,15,Female,0,4,16.73,20,Yes,4,No,Yes,Yes,No,1.8476,4
1292,17,Male,0,2,13.02,18,No,4,Yes,No,No,No,1.8498,4
1293,15,Female,0,2,12.28,3,No,4,No,No,Yes,No,3.2688,1
1294,16,Male,0,1,6.68,6,Yes,0,No,No,No,Yes,2.5465,2
1295,16,Male,0,2,16.36,3,No,4,No,No,No,No,3.1012,1
1296,18,Female,0,2,0.77,24,No,4,No,No,Yes,No,0.656,4
1297,16,Male,0,0,17.42,10,Yes,4,No,Yes,No,No,3.0885,1
1298,17,Female,0,1,10.25,11,Yes,3,No,No,No,No,1.9926,4
1299,15,Female,1,3,7.97,13,Yes,3,No,Yes,No,No,2.6052,2
1300,18,Male,1,1,9.94,12,Yes,1,No,No,No,No,1.734,4
1301,15,Female,0,1,13.35,28,No,3,Yes,No,No,No,1.1138,4
1302,15,Female,0,2,0.26,9,No,0,Yes,No,No,No,1.6493,4
1303,17,Female,3,2,17.43,17,No,2,No,No,No,No,1.3376,4
1304,16,Female,1,0,8.93,15,No,4,No,No,No,No,1.9847,4
1305,16,Female,1,2,6.86,4,No,2,No,Yes,Yes,No,3.0609,1
1306,15,Female,0,1,2.76,7,Yes,1,No,No,No,No,2.3929,3
1307,18,Female,2,0,8.79,13,No,4,No,No,No,No,2.0838,3
1308,16,Female,2,0,9.93,4,No,4,No,Yes,No,Yes,3.6457,0
1309,18,Male,1,3,8.07,25,No,1,Yes,No,No,No,0.3223,4
1310,16,Male,3,1,13.57,27,No,3,No,Yes,No,No,1.1295,4
1311,18,Female,0,0,8.42,23,No,2,Yes,No,No,No,0.6308,4
1312,17,Male,0,2,19.23,7,No,2,No,No,Yes,Yes,3.1572,1
1313,18,Female,2,3,11.99,24,No,1,No,No,No,No,0.6801,4
1314,17,Female,2,1,16.15,25,No,0,No,No,No,No,0.7964,4
1315,17,Male,0,2,2.19,5,Yes,1,No,Yes,No,No,2.844,2
1316,18,Female,0,0,7.95,15,Yes,0,No,Yes,No,No,1.2535,4
1317,17,Female,0,2,6.74,27,No,4,No,No,No,No,0.5345,4
1318,15,Female,0,2,11.39,3,Yes,3,Yes,No,No,No,3.191,1
1319,17,Female,2,2,17.22,11,No,3,No,No,Yes,No,2.8154,2
1320,16,Male,1,1,1.57,10,No,3,No,No,No,No,2.1571,3
1321,18,Female,0,1,1.45,2,No,1,Yes,No,No,No,2.7238,2
1322,15,Female,0,1,17.01,11,No,4,Yes,No,No,No,2.6277,2
1323,18,Female,0,1,4.26,29,Yes,3,Yes,Yes,No,No,0.9124,4
1324,16,Male,0,0,13.38,4,No,2,No,No,No,No,2.6096,2
1325,16,Female,1,2,10.86,5,Yes,1,No,Yes,No,No,2.982,2
1326,16,Male,3,4,16.66,18,No,3,No,No,No,No,1.6251,4
1327,17,Male,2,4,2.5,17,No,3,No,Yes,No,No,1.3617,4
1328,17,Female,0,3,2.6,15,Yes,3,No,No,No,No,1.917,4
1329,18,Female,2,2,11.14,22,No,0,No,No,No,No,1.0113,4
1330,18,Male,2,2,18.93,10,No,1,Yes,Yes,No,No,2.3322,3
1331,15,Female,2,1,8.3,4,No,2,Yes,Yes,Yes,No,3.3879,1
1332,15,Male,0,2,6.54,8,No,3,No,Yes,No,No,2.3847,3
1333,18,Male,0,2,12.13,2,No,0,No,No,No,No,2.7808,2
1334,17,Female,0,2,18.61,29,No,2,No,Yes,No,Yes,0.5348,4
1335,16,Female,0,2,16.74,7,No,2,No,No,No,No,2.5422,2
1336,18,Male,0,1,19.91,5,No,3,No,No,No,No,3.0071,1
1337,15,Male,0,1,0.45,3,No,2,Yes,No,No,No,2.9858,2
1338,17,Male,0,3,2.26,11,No,2,No,Yes,No,No,1.9493,4
1339,18,Male,2,0,12.19,11,No,3,No,No,No,No,2.1478,3
1340,18,Female,0,2,16.41,24,No,4,No,No,No,Yes,1.1758,4
1341,17,Female,0,3,5.7,20,No,1,Yes,No,No,No,1.4004,4
1342,18,Female,3,2,4.78,15,No,1,Yes,No,Yes,No,1.7555,4
1343,17,Female,3,2,15.74,9,No,4,Yes,No,Yes,No,2.9001,2
1344,16,Female,2,1,1.13,21,No,2,No,No,No,No,1.0335,4
1345,17,Male,3,1,7.39,13,No,3,No,No,No,Yes,1.9077,4
1346,17,Female,1,3,10.12,12,No,3,No,No,No,No,1.8809,4
1347,17,Female,3,2,11.21,8,No,1,No,Yes,Yes,No,2.615,2
1348,18,Female,0,2,14.57,6,No,3,Yes,No,Yes,No,3.1071,1
1349,18,Female,0,0,7.1,11,No,3,No,No,No,No,1.3865,4
